ID;Data_Confronto;Rodada;Time_Casa;Time_Visitante;Gol_1;Gol_2;Razao_Vitoria_Time_Casa;Razao_Vitoria_Time_Visitante;Razao_Derrota_Time_Casa;Razao_Derrota_Time_Visitante;Razao_Empate_Time_Casa;Razao_Empate_Time_Visitante;Media_Gols_Time_Casa;Media_Gols_Time_Visitante;Media_Gols_Sofrido_Time_Casa;Media_Gols_Sofrido_Time_Visitante;Exp_Gols_Mandante_Final;Exp_Gols_Visitante_Final;Forma_Mandante;Forma_Visitante;Elo_Mandante;Elo_Visitante;Exp_Vitoria;Tipo_Vencedor;Vencedor
380;2014-04-19;1;chapecoense;coritiba;0;0;;0.3158;;0.3684;;0.0;;1.1053;;1.1842;0;0;0;16;1001.02;1000.8975;E;E;empate
381;2014-04-19;1;fluminense;figueirense;3;0;0.3158;;0.4211;;0.2632;inf;1.1316;;1.2368;;0;0;11;2;1002.435;1000.975;E;M;fluminense
382;2014-04-19;1;internacional;vitória;1;0;0.2895;0.4211;0.3158;0.2895;0.3947;0.3947;1.3421;1.5526;1.3684;1.3947;1;1;6;10;992.47;1001.02;E;M;internacional
383;2014-04-20;1;atlético-mg;corinthians;0;0;0.3947;0.2895;0.2895;0.2632;0.3158;0.3158;1.2895;0.7105;1.0;0.5789;1;0;8;2;996.425;1003.1675;M;E;empate
384;2014-04-20;1;flamengo;goiás;0;0;0.3158;0.4211;0.3421;0.2895;0.3421;0.3421;1.1316;1.2632;1.2105;1.1579;1;1;6;0;995.5275;1004.645;E;E;empate
385;2014-04-20;1;santos;sport;1;1;0.3947;;0.2895;;0.3158;inf;1.3421;;1.0;;0;0;18;0;1000.795;1005.59;E;E;empate
386;2014-04-20;1;athlético-pr;grêmio;1;0;0.4737;0.4737;0.2632;0.2368;0.2632;0.2632;1.7105;1.1053;1.2895;0.9211;1;0;12;10;1001.5825;1000.5125;M;M;athlético-pr
387;2014-04-20;1;bahia;cruzeiro;1;2;0.3158;0.6053;0.3684;0.2105;0.3158;0.3158;0.9737;2.0263;1.1842;0.9737;0;1;9;3;1004.08;994.895;V;V;cruzeiro
388;2014-04-20;1;criciúma;palmeiras;1;2;0.3421;;0.4737;;0.1842;inf;1.2895;;1.6579;;0;0;7;0;1000.895;994.24;E;V;palmeiras
389;2014-04-20;1;são paulo;botafogo-rj;3;0;0.3684;0.4474;0.4211;0.2895;0.2105;0.2105;1.0263;1.4474;1.0526;1.0789;1;1;1;10;997.2875;994.6475;E;M;são paulo
390;2014-04-26;2;coritiba;santos;0;0;0.3077;0.3846;0.359;0.2821;0.3333;0.3333;1.0769;1.3333;1.1538;1.0;1;1;12;12;1000.8975;1000.795;E;E;empate
391;2014-04-26;2;palmeiras;fluminense;0;1;1.0;0.3333;0.0;0.4103;0.0;0.0;2.0;1.1795;1.0;1.2051;0;0;18;16;993.74;1002.935;E;V;fluminense
