"time";"ano";"rodada";"data_confronto";"local";"gol";"razao_vitoria";"razao_empate";"razao_derrota";"media_gols";"media_gols_sofridos";"expectativa_gols";"forma";"elo";"exp_vitoria";"tipo_vencedor";"vitoria";"vencedor";"pontos";"preco"
"vitória";2014;1;"2014-04-19";"F";0;0.4211;0.3947;0.2895;1.5526;1.3947;1.0000;10.0000;1001.0200;"E";"M";0;"internacional";5.10;37.95
"chapecoense";2014;1;"2014-04-19";"C";0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1001.0200;"E";"E";0;"empate";0.50;17.04
"fluminense";2014;1;"2014-04-19";"C";3;0.3158;0.2632;0.4211;1.1316;1.2368;0.0000;11.0000;1002.4350;"E";"M";1;"fluminense";41.00;139.35
"coritiba";2014;1;"2014-04-19";"F";0;0.3158;0.0000;0.3684;1.1053;1.1842;0.0000;16.0000;1000.8975;"E";"E";0;"empate";10.40;24.54
"figueirense";2014;1;"2014-04-19";"F";0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2.0000;1000.9750;"E";"M";0;"fluminense";-6.40;13.33
"internacional";2014;1;"2014-04-19";"C";1;0.2895;0.3947;0.3158;1.3421;1.3684;1.0000;6.0000;992.4700;"E";"M";1;"internacional";17.60;46.66
"são paulo";2014;1;"2014-04-20";"C";3;0.3684;0.2105;0.4211;1.0263;1.0526;1.0000;1.0000;997.2875;"E";"M";1;"são paulo";29.10;68.99
"atlético-mg";2014;1;"2014-04-20";"C";0;0.3947;0.3158;0.2895;1.2895;1.0000;1.0000;8.0000;996.4250;"M";"E";0;"empate";26.50;78.39
"palmeiras";2014;1;"2014-04-20";"F";2;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;994.2400;"E";"V";1;"palmeiras";12.40;55.59
"sport";2014;1;"2014-04-20";"F";1;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1005.5900;"E";"E";0;"empate";14.30;41.88
"goiás";2014;1;"2014-04-20";"F";0;0.4211;0.3421;0.2895;1.2632;1.1579;1.0000;0.0000;1004.6450;"E";"E";0;"empate";0.00;0.00
"cruzeiro";2014;1;"2014-04-20";"F";2;0.6053;0.3158;0.2105;2.0263;0.9737;1.0000;3.0000;994.8950;"V";"V";1;"cruzeiro";15.50;67.78
"grêmio";2014;1;"2014-04-20";"F";0;0.4737;0.2632;0.2368;1.1053;0.9211;0.0000;10.0000;1000.5125;"M";"M";0;"athlético-pr";9.70;67.19
"bahia";2014;1;"2014-04-20";"C";1;0.3158;0.3158;0.3684;0.9737;1.1842;0.0000;9.0000;1004.0800;"V";"V";0;"cruzeiro";0.00;0.00
"botafogo-rj";2014;1;"2014-04-20";"F";0;0.4474;0.2105;0.2895;1.4474;1.0789;1.0000;10.0000;994.6475;"E";"M";0;"são paulo";10.20;46.34
"athlético-pr";2014;1;"2014-04-20";"C";1;0.4737;0.2632;0.2632;1.7105;1.2895;1.0000;12.0000;1001.5825;"M";"M";1;"athlético-pr";20.70;55.82
"santos";2014;1;"2014-04-20";"C";1;0.3947;0.3158;0.2895;1.3421;1.0000;0.0000;18.0000;1000.7950;"E";"E";0;"empate";25.70;123.99
"corinthians";2014;1;"2014-04-20";"F";0;0.2895;0.3158;0.2632;0.7105;0.5789;0.0000;2.0000;1003.1675;"M";"E";0;"empate";47.90;96.87
"flamengo";2014;1;"2014-04-20";"C";0;0.3158;0.3421;0.3421;1.1316;1.2105;1.0000;6.0000;995.5275;"E";"E";0;"empate";13.00;84.08
"criciúma";2014;1;"2014-04-20";"C";1;0.3421;0.1842;0.4737;1.2895;1.6579;0.0000;7.0000;1000.8950;"E";"V";0;"palmeiras";0.00;0.00
"coritiba";2014;2;"2014-04-26";"C";0;0.3077;0.3333;0.3590;1.0769;1.1538;1.0000;12.0000;1000.8975;"E";"E";0;"empate";12.80;27.88
"palmeiras";2014;2;"2014-04-26";"C";0;1.0000;0.0000;0.0000;2.0000;1.0000;0.0000;18.0000;993.7400;"E";"V";0;"fluminense";20.70;55.91
"fluminense";2014;2;"2014-04-26";"F";1;0.3333;0.0000;0.4103;1.1795;1.2051;0.0000;16.0000;1002.9350;"E";"V";1;"fluminense";41.30;125.95
"santos";2014;2;"2014-04-26";"F";0;0.3846;0.3333;0.2821;1.3333;1.0000;1.0000;12.0000;1000.7950;"E";"E";0;"empate";8.40;85.77
"botafogo-rj";2014;2;"2014-04-27";"C";2;0.4359;0.2564;0.3077;1.4103;1.1282;1.0000;6.0000;994.1475;"M";"E";0;"empate";20.40;58.73
"criciúma";2014;2;"2014-04-27";"F";0;0.3333;0.3077;0.4872;1.2821;1.6667;1.0000;3.0000;1000.3950;"E";"M";0;"goiás";0.00;0.00
"bahia";2014;2;"2014-04-27";"F";2;0.3077;0.0000;0.3846;0.9744;1.2051;0.0000;3.0000;1004.8300;"E";"V";1;"bahia";0.00;0.00
"athlético-pr";2014;2;"2014-04-27";"F";2;0.4872;0.2821;0.2564;1.6923;1.2564;1.0000;15.0000;1001.5825;"E";"E";0;"empate";7.60;57.14
"flamengo";2014;2;"2014-04-27";"F";0;0.3077;0.4615;0.3333;1.1026;1.1795;0.0000;3.0000;994.7775;"E";"M";0;"corinthians";1.30;52.32
"internacional";2014;2;"2014-04-27";"F";2;0.3077;0.2564;0.3077;1.3333;1.3333;0.0000;10.0000;992.9700;"M";"E";0;"empate";33.30;64.11
"chapecoense";2014;2;"2014-04-27";"F";1;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;6.0000;1000.5200;"E";"M";0;"sport";9.10;14.29
"corinthians";2014;2;"2014-04-27";"C";2;0.2821;0.4615;0.2564;0.6923;0.5641;0.0000;4.0000;1003.9175;"E";"M";1;"corinthians";52.70;114.63
"sport";2014;2;"2014-04-27";"C";2;0.0000;1.0000;0.0000;1.0000;1.0000;0.0000;6.0000;1006.0900;"E";"M";1;"sport";12.40;42.71
"vitória";2014;2;"2014-04-27";"C";2;0.4103;0.2821;0.3077;1.5128;1.3846;1.0000;5.0000;1001.0200;"E";"E";0;"empate";20.00;35.46
"goiás";2014;2;"2014-04-27";"C";1;0.4103;0.3077;0.2821;1.2308;1.1282;1.0000;3.0000;1005.1450;"E";"M";1;"goiás";0.00;0.00
"grêmio";2014;2;"2014-04-27";"C";2;0.4615;0.2821;0.2564;1.0769;0.9231;1.0000;5.0000;1000.5125;"M";"M";1;"grêmio";1.20;30.26
"são paulo";2014;2;"2014-04-27";"F";1;0.3846;0.1795;0.4103;1.0769;1.0256;0.0000;11.0000;997.7875;"M";"E";0;"empate";11.00;67.66
"cruzeiro";2014;2;"2014-04-27";"C";1;0.6154;0.1795;0.2051;2.0256;0.9744;1.0000;11.0000;994.3950;"M";"E";0;"empate";16.20;89.15
"figueirense";2014;2;"2014-04-27";"C";0;0.0000;0.0000;1.0000;0.0000;3.0000;0.0000;0.0000;1000.2250;"E";"V";0;"bahia";0.80;10.39
"atlético-mg";2014;2;"2014-04-27";"F";1;0.3846;0.2821;0.2821;1.2564;0.9744;0.0000;6.0000;996.4250;"M";"M";0;"grêmio";22.20;97.05
"são paulo";2014;3;"2014-05-03";"C";2;0.3750;0.2250;0.4000;1.0750;1.0250;1.0000;9.0000;997.2875;"M";"E";0;"empate";14.00;63.80
"fluminense";2014;3;"2014-05-03";"C";1;0.3500;0.2500;0.4000;1.1750;1.1750;1.0000;18.0000;1002.4350;"E";"V";0;"vitória";20.40;134.12
"santos";2014;3;"2014-05-03";"C";0;0.3750;0.3500;0.2750;1.3000;0.9750;1.0000;8.0000;1000.2950;"M";"E";0;"empate";15.90;93.91
"coritiba";2014;3;"2014-05-03";"F";2;0.3000;0.2250;0.3500;1.0500;1.1250;0.0000;6.0000;1001.3975;"M";"E";0;"empate";9.30;15.77
"athlético-pr";2014;3;"2014-05-03";"C";2;0.4750;0.2750;0.2500;1.7000;1.2750;1.0000;12.0000;1001.0825;"E";"V";0;"cruzeiro";5.30;46.84
"grêmio";2014;3;"2014-05-03";"F";0;0.4750;0.3500;0.2500;1.1000;0.9250;0.0000;12.0000;1001.0125;"M";"E";0;"empate";36.50;72.53
"vitória";2014;3;"2014-05-03";"F";2;0.4000;0.2500;0.3000;1.5250;1.4000;1.0000;4.0000;1001.5200;"E";"V";1;"vitória";32.40;47.95
"cruzeiro";2014;3;"2014-05-03";"F";3;0.6000;0.2750;0.2000;2.0000;0.9750;1.0000;10.0000;994.8950;"E";"V";1;"cruzeiro";14.70;54.63
"bahia";2014;3;"2014-05-04";"C";1;0.3250;0.3000;0.3750;1.0000;1.1750;1.0000;9.0000;1005.3300;"E";"M";1;"bahia";0.00;0.00
"criciúma";2014;3;"2014-05-04";"C";1;0.3250;0.1750;0.5000;1.2500;1.6500;2.0000;0.0000;1000.3950;"M";"M";1;"criciúma";0.00;0.00
"botafogo-rj";2014;3;"2014-05-04";"F";0;0.4250;0.3000;0.3000;1.4250;1.1500;1.0000;6.0000;993.6475;"E";"M";0;"bahia";10.40;53.41
