Apelido,AtletaID,ClubeID,Participou,Pontos,Preco,Rodada,ano,dia,mes
Juan,36540,Internacional,True,2.0,12.88,1,2014,19.0,4.0
Juan,36540,Internacional,True,3.4,12.04,2,2014,27.0,4.0
Juan,36540,Internacional,True,0.1,10.85,3,2014,4.0,5.0
Juan,36540,Internacional,True,0.9,10.61,4,2014,10.0,5.0
Juan,36540,Internacional,True,1.2,10.45,5,2014,18.0,5.0
Juan,36540,Internacional,True,1.9,10.14,7,2014,25.0,5.0
Juan,36540,Internacional,True,10.7,11.87,8,2014,28.0,5.0
Juan,36540,Internacional,True,4.1,11.2,9,2014,1.0,6.0
Juan,36540,Internacional,True,0.4,10.7,10,2014,17.0,7.0
Juan,36540,Internacional,True,10.0,12.69,11,2014,20.0,7.0
Juan,36540,Internacional,True,2.3,11.47,12,2014,26.0,7.0
Juan,36540,Internacional,True,7.1,12.55,13,2014,3.0,8.0
Juan,36540,Internacional,True,6.6,12.72,14,2014,10.0,8.0
Juan,36540,Internacional,True,7.3,13.15,15,2014,16.0,8.0
Juan,36540,Internacional,True,1.8,12.04,16,2014,20.0,8.0
Juan,36540,Internacional,True,5.0,12.86,17,2014,23.0,8.0
Juan,36540,Internacional,True,9.8,13.33,23,2014,20.0,9.0
Juan,36540,Internacional,True,7.4,13.21,24,2014,24.0,9.0
Juan,36540,Internacional,True,10.0,13.82,25,2014,28.0,9.0
Juan,36540,Internacional,True,-2.5,11.69,26,2014,4.0,10.0
Juan,36540,Internacional,True,4.8,12.76,27,2014,9.0,10.0
Juan,36540,Flamengo,True,11.7,13.75,1,2016,14.0,5.0
Juan,36540,Flamengo,True,2.2,15.22,2,2016,22.0,5.0
Juan,36540,Flamengo,True,-2.8,12.95,3,2016,25.0,5.0
Juan,36540,Flamengo,True,1.1,11.32,15,2016,16.0,7.0
Juan,36540,Flamengo,True,3.5,11.6,16,2016,25.0,7.0
Juan,36540,Flamengo,True,4.4,11.91,17,2016,31.0,7.0
Juan,36540,Flamengo,True,4.9,11.6,35,2016,16.0,11.0
Juan,36540,Flamengo,True,2.9,11.02,38,2016,11.0,12.0
Juan,36540,Flamengo,True,7.5,6.11,4,2017,4.0,6.0
Juan,36540,Flamengo,True,2.6,5.64,5,2017,7.0,6.0
Juan,36540,Flamengo,True,10.4,7.76,6,2017,11.0,6.0
Juan,36540,Flamengo,True,0.2,6.25,8,2017,18.0,6.0
Juan,36540,Flamengo,True,-0.8,5.92,9,2017,22.0,6.0
Juan,36540,Flamengo,True,4.0,6.29,16,2017,22.0,7.0
Juan,36540,Flamengo,True,5.9,6.68,17,2017,30.0,7.0
Juan,36540,Flamengo,True,4.1,6.65,18,2017,2.0,8.0
