atletas.apelido,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name
Jairinho,9,1.9,2.89,Vasco
Lucas Halter,9,0.0,2.64,Athlético-PR
Guilherme Nunes,9,0.0,2.0,Santos
Gabriel Calabres,9,0.0,2.0,Santos
Vitinho,9,0.0,1.22,Athlético-PR
Gabriel,9,0.0,1.0,Athlético-PR
Vitor Eudes,9,0.0,2.0,Cruzeiro
Bruno Leite,9,0.0,2.0,Athlético-PR
Braian Romero,9,0.0,4.85,Athlético-PR
Iury,9,0.0,6.76,Avaí
Toró,9,-1.1,4.08,São Paulo
Papagaio,9,0.0,1.45,Atlético-MG
Marcinho,9,0.0,1.0,Avaí
Caio Paulista,9,1.2,2.87,Avaí
Cacá,9,0.0,2.0,Cruzeiro
Victor Paraíba,9,4.1,2.2,CSA
Araos,9,0.0,4.0,Corinthians
Helinho,9,0.0,3.96,São Paulo
Thiaguinho,9,0.0,3.0,Corinthians
Figueira,9,0.0,1.0,Goiás
Vital,9,0.0,1.0,CSA
Jonathan,9,0.0,1.87,Botafogo
Yago Darub,9,0.0,1.0,Flamengo
Fernando Castro,9,0.0,2.0,Bahia
Nathan,9,-5.4,1.44,Fortaleza
Hulk,9,0.0,3.0,Atlético-MG
Moresche,9,0.0,2.0,Vasco
Dudu,9,0.0,3.0,Vasco
Rodrigo Fernandes,9,0.0,2.0,Vasco
Romarinho Gouveia,9,0.0,1.0,Fortaleza
Gabriel Poveda,9,0.0,2.0,Athlético-PR
Yann Rolim,9,0.0,4.0,Chapecoense
Terans,9,0.0,5.0,Atlético-MG
Zé Ricardo,9,0.0,1.0,Fluminense
Rhuan,9,0.0,1.0,Botafogo
Régis,9,0.0,4.34,Chapecoense
Felipe Sousa,9,0.0,1.0,Atlético-MG
Tharlis,9,0.0,3.43,Chapecoense
Luan,9,-1.8,2.71,São Paulo
Antonini,9,0.0,1.0,Grêmio
Vini Locatelli,9,0.0,1.0,Chapecoense
Éderson,9,0.0,2.0,Cruzeiro
Andrew,9,0.0,2.0,Botafogo
Mateus Gonçalves,9,1.5,2.41,Ceará
Ney Franco,9,3.89,8.8,Chapecoense
Yuri ,9,0.0,2.0,Flamengo
Kaio Jorge,9,0.0,0.75,Santos
Ignácio,9,0.0,2.0,Bahia
Michel,9,0.0,2.0,Cruzeiro
Marcos Paulo,9,2.7,3.49,Fluminense
Júnior,9,0.0,1.0,São Paulo
Kaique Rocha,9,0.0,2.0,Santos
Anderson Ceará,9,0.0,1.0,Santos
Neto,9,0.0,1.0,Atlético-MG
Bruno Méndez,9,2.3,5.31,Corinthians
João Pedro,9,1.7,4.94,Fluminense
Walce,9,0.0,3.67,São Paulo
André,9,0.0,1.0,Botafogo
Carlos Miguel,9,0.0,1.0,Internacional
Alessandro,9,0.0,1.0,Botafogo
Roberto,9,1.0,2.67,Internacional
Pedro Lucas,9,0.0,4.0,Internacional
Gerson,9,4.5,5.4,CSA
Matheus Stockl,9,0.0,1.0,Atlético-MG
Bruno Fuchs,9,0.0,2.0,Internacional
Jaques,9,0.0,1.0,Bahia
Falcão,9,0.0,2.0,Avaí
João Lucas,9,4.7,2.61,Flamengo
João Victor,9,0.0,2.0,Corinthians
Rodrigo,9,0.0,1.0,Avaí
Dudu,9,0.0,1.0,Avaí
Nuno,9,0.0,2.0,Avaí
Gabriel,9,0.0,1.0,Atlético-MG
Gustavo Coutinho,9,0.0,1.0,Fortaleza
Antony,9,0.0,11.31,São Paulo
Igor Reis,9,0.0,1.0,Atlético-MG
João Vitor,9,0.0,1.0,Avaí
Rick,9,0.0,1.83,Ceará
Julian,9,0.0,2.0,Avaí
Lucas Dias,9,0.0,2.0,CSA
Caíque,9,0.0,2.0,Bahia
Sandry,9,0.0,1.0,Santos
Darlan,9,-0.3,0.75,Grêmio
Hélio Júnior,9,0.0,1.0,Atlético-MG
Lucas Barros,9,1.5,1.08,Botafogo
Tiago Reis,9,-1.8,3.91,Vasco
Douglas Borel,9,0.0,1.0,Bahia
Weverton,9,0.0,2.0,Cruzeiro
Brizuela,9,0.0,6.71,Avaí
Lucas Alves,9,0.0,1.0,Botafogo
Heitor,9,0.0,1.0,Internacional
Vinícius,9,0.0,1.0,Goiás
Gerson Júnior,9,0.0,0.75,CSA
Wagner Leonardo,9,0.0,1.0,Santos
Bruninho,9,0.0,2.0,Santos
Talison,9,0.0,1.0,Fortaleza
Igo,9,0.0,1.0,CSA
Khellven ,9,0.0,1.64,Athlético-PR
Luiz Fernando,9,0.0,2.0,Athlético-PR
Reinier,9,0.0,3.0,Flamengo
Raphael Lopes,9,0.0,1.0,Atlético-MG
Vinícius Popó,9,0.0,2.0,Cruzeiro
Vinícius,9,0.0,2.0,Flamengo
Bill,9,0.0,0.73,Flamengo
Mano Menezes,9,0.81,9.07,Cruzeiro
Heron,9,0.0,1.0,Goiás
Iago Mendonça,9,0.0,1.0,Goiás
Diguinho,9,0.0,2.0,Fortaleza
Rafael Barbosa,9,0.0,1.0,Goiás
Filipe Trindade,9,0.0,1.0,Goiás
Alan,9,0.0,1.0,Goiás
Alexander,9,0.0,9.79,Vasco
Roni,9,0.0,2.0,Corinthians
Felipe Mosquete,9,0.0,1.0,Goiás
Riquelme,9,0.0,1.0,Vasco
Miguel,9,0.0,3.0,Fluminense
Lucas Piton,9,0.0,1.0,Corinthians
Mauricio,9,0.0,1.0,Cruzeiro
Geovane,9,0.0,1.0,Athlético-PR
Morato,9,0.0,1.0,São Paulo
Luan,9,0.0,1.0,Fluminense
Gabriel Fornari,9,0.0,1.0,Athlético-PR
Talles,9,0.0,0.78,Vasco
Da Silva,9,0.0,1.0,Grêmio
Guilherme Azevedo,9,0.0,1.0,Grêmio
Edu,9,0.0,1.0,Cruzeiro
Iván Angulo,9,0.0,4.0,Palmeiras
Bento,9,0.0,1.0,Athlético-PR
Ramires,9,-2.2,10.28,Bahia
Betão,9,0.0,3.14,Avaí
Luis Henrique ,9,0.0,1.0,Botafogo
João Celeri,9,0.0,1.0,Corinthians
Edu Dracena,9,6.3,7.22,Palmeiras
Fábio,9,-1.0,9.68,Cruzeiro
Alecsandro,9,0.0,7.0,CSA
Jonathan,9,-0.3,3.68,Athlético-PR
Henrique,9,6.0,7.61,Cruzeiro
Cícero,9,4.5,13.37,Botafogo
Fernando Henrique,9,0.0,4.0,Ceará
Léo Moura,9,0.0,6.12,Grêmio
Marcelo Boeck,9,0.0,3.31,Fortaleza
Edinho,9,0.0,1.89,Ceará
Rafael Sobis,9,18.6,9.26,Internacional
Anderson,9,0.0,2.08,Bahia
Fernando Prass,9,0.0,8.0,Palmeiras
Rafinha,9,0.0,10.0,Flamengo
Maicon,9,0.0,8.35,Grêmio
Fred,9,0.0,5.34,Cruzeiro
Fábio Santos,9,2.5,10.45,Atlético-MG
Diego Tardelli,9,1.0,8.23,Grêmio
Thiago Neves,9,1.4,8.04,Cruzeiro
Jadson,9,-0.3,3.41,Corinthians
Márcio Araújo,9,1.7,8.85,Chapecoense
Thiago Heleno,9,0.0,1.27,Athlético-PR
Diego Cavalieri,9,1.0,5.46,Botafogo
Wellington Paulista,9,0.0,10.59,Fortaleza
Carlinhos,9,1.7,5.91,CSA
Leandro Castan,9,0.0,11.0,Vasco
Daniel Marcos,9,0.0,1.0,Corinthians
Diego Alves,9,0.0,7.78,Flamengo
Dodô,9,-0.8,5.13,Cruzeiro
Marquinhos Silva,9,0.0,6.52,Avaí
Felipe Melo,9,0.3,6.49,Palmeiras
Nilton,9,-0.3,2.91,CSA
Hernanes,9,3.4,13.65,São Paulo
Douglas,9,-0.9,5.2,Avaí
Diego,9,0.0,5.31,Flamengo
Matheus Ferraz,9,0.0,6.23,Fluminense
Vagner Love,9,-0.1,3.72,Corinthians
Nenê,9,6.4,6.55,São Paulo
Renato,9,0.0,5.74,Chapecoense
Ricardo Oliveira,9,1.7,14.33,Atlético-MG
Egídio,9,0.0,9.55,Cruzeiro
Willian,9,0.0,10.0,Palmeiras
Vanderlei Luxemburgo,9,5.49,7.82,Vasco
